Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês
138,6;2015;;13/10/2015;01/10/15
58,46;2015;11/07/2018;10/11/2015;01/11/15
33;2015;;17/11/2015;01/11/15
16,43;2015;24/03/2016;18/09/2015;01/09/15
79,65;2015;;30/11/2015;01/11/15
43,75;2015;11/02/2016;22/11/2015;01/11/15
62,18;2015;26/05/2017;10/11/2015;01/11/15
26,25;2015;04/07/2016;12/11/2015;01/11/15
24,98;2015;23/11/2019;28/10/2015;01/10/15
33,5;2015;12/01/2018;09/10/2015;01/10/15
60;2015;;08/12/2015;01/12/15
216,33;2015;25/11/2019;23/11/2015;01/11/15
35,3;2015;23/09/2016;17/09/2015;01/09/15
21,75;2015;14/03/2016;25/11/2015;01/11/15
14;2015;23/02/2016;04/11/2015;01/11/15
154,81;2016;;10/02/2016;01/02/16
30;2015;07/07/2016;09/10/2015;01/10/15
351,82;2015;19/08/2019;09/10/2015;01/10/15
16,5;2019;26/08/2019;16/01/2019;01/01/19
166,96;2015;26/10/2018;09/11/2015;01/11/15
606,73;2015;13/04/2017;23/11/2015;01/11/15
145,73;2015;06/07/2017;25/09/2015;01/09/15
96,5;2015;11/11/2019;07/10/2015;01/10/15
7,2;2015;18/12/2015;23/09/2015;01/09/15
50;2015;;18/11/2015;01/11/15
27;2015;29/10/2015;24/09/2015;01/09/15
8;2016;;18/03/2016;01/03/16
3;2015;18/04/2016;09/10/2015;01/10/15
44,5;2015;02/08/2017;01/10/2015;01/10/15
16;2015;19/01/2016;09/10/2015;01/10/15
66;2015;11/12/2019;07/10/2015;01/10/15
98,34;2015;29/11/2018;16/10/2015;01/10/15
52,8;2015;04/03/2016;07/10/2015;01/10/15
41,85;2015;;10/11/2015;01/11/15
77,5;2015;15/08/2017;01/10/2015;01/10/15
13,5;2015;15/08/2017;01/10/2015;01/10/15
68,81;2015;10/10/2016;01/10/2015;01/10/15
61,31;2015;24/03/2017;01/10/2015;01/10/15
205,2;2015;;07/10/2015;01/10/15
2,25;2015;23/12/2015;27/10/2015;01/10/15
35,19;2015;23/05/2016;17/11/2015;01/11/15
15;2016;05/08/2016;29/02/2016;01/02/16
59,75;2015;06/02/2019;06/10/2015;01/10/15
38,5;2015;27/01/2017;26/11/2015;01/11/15
478,88;2015;;23/11/2015;01/11/15
10,2;2015;19/01/2016;15/11/2015;01/11/15
21,11;2015;;17/11/2015;01/11/15
28,35;2015;;09/10/2015;01/10/15
435,88;2015;04/04/2019;06/10/2015;01/10/15
372,5;2015;01/11/2018;06/10/2015;01/10/15
6;2015;;07/10/2015;01/10/15
10,8;2015;17/11/2015;08/10/2015;01/10/15
29,25;2015;26/07/2017;07/10/2015;01/10/15
12;2015;;07/10/2015;01/10/15
19;2015;;07/10/2015;01/10/15
120,1;2015;28/11/2016;09/10/2015;01/10/15
10,6;2015;01/04/2016;08/10/2015;01/10/15
482,4;2015;11/05/2017;08/10/2015;01/10/15
6;2016;;20/01/2016;01/01/16
15,75;2015;30/01/2017;19/11/2015;01/11/15
5;2015;;24/11/2015;01/11/15
49,45;2015;10/12/2019;17/11/2015;01/11/15
34;2015;;16/11/2015;01/11/15
37,75;2015;20/07/2018;19/10/2015;01/10/15
34,25;2015;06/07/2016;13/10/2015;01/10/15
7,14;2015;16/02/2016;15/10/2015;01/10/15
201;2015;;08/12/2015;01/12/15
17;2015;03/10/2016;08/11/2015;01/11/15
97;2015;20/02/2017;15/10/2015;01/10/15
22,99;2015;02/06/2016;14/10/2015;01/10/15
4,5;2015;07/10/2016;14/10/2015;01/10/15
167,05;2015;29/11/2019;15/11/2015;01/11/15
26,11;2015;12/01/2016;14/10/2015;01/10/15
334,7;2015;31/10/2019;15/10/2015;01/10/15
334,3;2015;08/12/2017;15/10/2015;01/10/15
60;2015;;19/11/2015;01/11/15
12,25;2015;21/06/2017;23/11/2015;01/11/15
51;2015;18/02/2016;16/11/2015;01/11/15
225;2015;;24/11/2015;01/11/15
125;2015;;20/11/2015;01/11/15
14,71;2015;24/12/2018;11/11/2015;01/11/15
16,5;2015;19/05/2016;08/11/2015;01/11/15
6;2015;;25/10/2015;01/10/15
3,45;2015;01/02/2017;24/11/2015;01/11/15
179,75;2015;;17/11/2015;01/11/15
187,96;2015;10/12/2019;16/10/2015;01/10/15
6;2015;06/05/2016;15/10/2015;01/10/15
12;2015;;15/10/2015;01/10/15
218,3;2015;09/12/2019;17/11/2015;01/11/15
0,3;2015;10/06/2016;30/12/2015;01/12/15
27;2015;02/05/2018;30/11/2015;01/11/15
740,25;2015;;07/12/2015;01/12/15
27;2015;23/11/2019;10/11/2015;01/11/15
5,25;2015;;07/12/2015;01/12/15
46;2015;18/07/2016;10/11/2015;01/11/15
65,91;2015;18/04/2016;10/11/2015;01/11/15
27,44;2015;23/12/2016;23/11/2015;01/11/15
495;2015;;26/10/2015;01/10/15
382,83;2015;05/03/2018;18/10/2015;01/10/15
10;2015;;19/11/2015;01/11/15
298;2015;17/05/2016;20/11/2015;01/11/15
40,5;2015;17/10/2016;19/11/2015;01/11/15
16;2016;10/05/2017;11/05/2016;01/05/16
9,6;2015;11/02/2016;22/10/2015;01/10/15
70;2015;;19/11/2015;01/11/15
5,4;2015;24/07/2018;20/10/2015;01/10/15
14,25;2015;24/02/2016;05/11/2015;01/11/15
179,55;2015;;10/11/2015;01/11/15
180;2015;;16/11/2015;01/11/15
42,75;2015;28/04/2016;22/11/2015;01/11/15
18,9;2015;01/04/2016;25/10/2015;01/10/15
32,25;2015;;14/12/2015;01/12/15
54;2015;06/12/2016;24/11/2015;01/11/15
37,95;2015;04/12/2020;04/11/2015;01/11/15
4;2015;08/01/2016;11/11/2015;01/11/15
29,84;2015;24/10/2016;10/11/2015;01/11/15
754,99;2015;;01/11/2015;01/11/15
207,75;2015;;10/11/2015;01/11/15
23,29;2015;;26/10/2015;01/10/15
4,5;2015;06/01/2016;09/11/2015;01/11/15
238,5;2015;;27/10/2015;01/10/15
0,6;2015;02/02/2016;30/11/2015;01/11/15
59,31;2015;25/08/2016;24/11/2015;01/11/15
40,75;2015;16/04/2018;05/11/2015;01/11/15
161,84;2015;01/07/2016;03/11/2015;01/11/15
263,25;2015;;24/11/2015;01/11/15
54,9;2015;31/03/2016;04/11/2015;01/11/15
151,88;2015;;04/11/2015;01/11/15
10,82;2015;24/11/2017;17/11/2015;01/11/15
175,86;2015;06/03/2018;19/11/2015;01/11/15
35,5;2015;24/04/2017;17/11/2015;01/11/15
44,3;2015;11/04/2018;10/11/2015;01/11/15
179,44;2015;05/10/2016;10/11/2015;01/11/15
5,4;2015;29/03/2017;09/11/2015;01/11/15
26,01;2015;26/02/2016;05/11/2015;01/11/15
110;2015;08/06/2018;23/11/2015;01/11/15
120;2015;;19/11/2015;01/11/15
404,1;2015;10/12/2019;19/11/2015;01/11/15
43,25;2015;19/07/2018;24/11/2015;01/11/15
97,31;2015;;29/11/2015;01/11/15
18;2015;06/07/2018;23/11/2015;01/11/15
68,9;2015;27/12/2016;24/11/2015;01/11/15
390;2015;;10/11/2015;01/11/15
86;2015;28/05/2018;12/11/2015;01/11/15
14;2015;29/01/2016;12/11/2015;01/11/15
4,5;2015;;19/11/2015;01/11/15
116,25;2015;26/06/2017;19/11/2015;01/11/15
162,3;2015;03/06/2019;18/11/2015;01/11/15
147,47;2015;12/04/2017;20/11/2015;01/11/15
26,25;2015;14/11/2017;11/11/2015;01/11/15
26,25;2015;04/07/2016;12/11/2015;01/11/15
87,68;2015;;23/11/2015;01/11/15
33,66;2015;23/05/2016;17/11/2015;01/11/15
114;2015;;02/12/2015;01/12/15
16,2;2015;;24/11/2015;01/11/15
138;2015;07/05/2018;17/11/2015;01/11/15
61,85;2015;08/04/2019;17/11/2015;01/11/15
12,5;2015;29/01/2016;12/11/2015;01/11/15
13,5;2015;22/01/2016;24/11/2015;01/11/15
89,1;2015;10/12/2019;18/11/2015;01/11/15
11,8;2015;26/02/2016;13/12/2015;01/12/15
4,5;2015;;07/12/2015;01/12/15
26,5;2015;26/10/2018;25/11/2015;01/11/15
150;2015;;02/12/2015;01/12/15
310,06;2015;;22/11/2015;01/11/15
8;2016;;17/02/2016;01/02/16
28;2015;21/09/2016;17/11/2015;01/11/15
35,57;2015;09/04/2019;17/11/2015;01/11/15
31;2015;21/06/2016;24/11/2015;01/11/15
165;2015;09/12/2019;23/11/2015;01/11/15
22;2015;;25/11/2015;01/11/15
68,5;2015;11/04/2017;16/11/2015;01/11/15
55,99;2015;11/04/2017;16/11/2015;01/11/15
5,25;2015;27/12/2016;24/11/2015;01/11/15
56;2015;28/08/2019;19/11/2015;01/11/15
52,75;2016;19/02/2018;01/06/2016;01/06/16
25,5;2015;27/12/2016;24/11/2015;01/11/15
7,05;2016;16/08/2016;14/03/2016;01/03/16
12,5;2015;;24/11/2015;01/11/15
12,75;2015;13/04/2016;22/11/2015;01/11/15
25,76;2015;08/04/2019;17/11/2015;01/11/15
247,06;2016;06/06/2018;29/02/2016;01/02/16
107;2015;11/04/2016;17/11/2015;01/11/15
4,5;2015;19/04/2016;23/11/2015;01/11/15
36,26;2015;14/12/2018;25/11/2015;01/11/15
133,34;2015;10/10/2016;17/11/2015;01/11/15
112,73;2015;19/12/2017;17/11/2015;01/11/15
26,78;2015;04/02/2016;18/11/2015;01/11/15
19;2015;19/04/2016;24/11/2015;01/11/15
66;2015;25/09/2017;18/11/2015;01/11/15
80;2015;;22/11/2015;01/11/15
3;2015;27/12/2016;24/11/2015;01/11/15
11,25;2016;16/05/2017;18/02/2016;01/02/16
20,25;2015;06/06/2016;06/12/2015;01/12/15
69;2015;;20/12/2015;01/12/15
43;2015;28/03/2016;18/11/2015;01/11/15
184,4;2015;25/09/2018;22/11/2015;01/11/15
9,45;2015;;24/11/2015;01/11/15
24;2015;24/03/2017;18/11/2015;01/11/15
223,18;2015;06/07/2017;18/11/2015;01/11/15
53;2015;20/05/2016;18/11/2015;01/11/15
5,1;2015;;24/11/2015;01/11/15
91;2015;27/01/2017;26/11/2015;01/11/15
80;2015;;03/12/2015;01/12/15
35,75;2015;14/07/2016;25/11/2015;01/11/15
162,44;2015;21/09/2018;24/11/2015;01/11/15
6;2015;27/04/2016;24/11/2015;01/11/15
101,25;2015;;24/11/2015;01/11/15
63,41;2015;11/02/2016;24/11/2015;01/11/15
38,8;2015;12/12/2017;26/11/2015;01/11/15
7,5;2015;27/01/2017;26/11/2015;01/11/15
28,75;2015;04/03/2016;22/11/2015;01/11/15
12,49;2015;;22/11/2015;01/11/15
430,82;2016;13/06/2018;29/02/2016;01/02/16
65,19;2015;07/04/2016;25/11/2015;01/11/15
219,54;2015;04/10/2019;22/11/2015;01/11/15
84;2015;07/12/2016;22/11/2015;01/11/15
275,65;2015;10/12/2019;24/11/2015;01/11/15
36,15;2015;26/02/2016;24/11/2015;01/11/15
105,21;2015;21/12/2020;24/11/2015;01/11/15
369;2015;09/12/2019;25/11/2015;01/11/15
16,2;2015;;21/12/2015;01/12/15
82,64;2015;09/12/2019;24/11/2015;01/11/15
21;2015;27/06/2016;29/11/2015;01/11/15
186,25;2015;;08/12/2015;01/12/15
300;2015;;25/11/2015;01/11/15
15,75;2015;31/03/2016;03/12/2015;01/12/15
443,4;2015;;03/12/2015;01/12/15
15;2015;;07/12/2015;01/12/15
3;2015;;24/11/2015;01/11/15
67,5;2015;;03/12/2015;01/12/15
13,9;2015;16/02/2016;24/11/2015;01/11/15
1064,45;2015;;20/12/2015;01/12/15
153,9;2015;;17/12/2015;01/12/15
53,25;2015;16/08/2017;24/11/2015;01/11/15
15,35;2015;14/12/2018;25/11/2015;01/11/15
80,25;2015;04/01/2019;26/11/2015;01/11/15
19,5;2015;;21/12/2015;01/12/15
32,55;2015;21/10/2016;02/12/2015;01/12/15
460;2015;;24/11/2015;01/11/15
84,78;2015;09/02/2017;24/11/2015;01/11/15
118,26;2015;;24/11/2015;01/11/15
2,25;2015;26/01/2018;25/11/2015;01/11/15
3;2016;07/03/2016;02/02/2016;01/02/16
100,5;2016;20/04/2016;14/01/2016;01/01/16
170,26;2015;25/06/2019;14/12/2015;01/12/15
9,65;2019;;02/08/2019;01/08/19
6;2015;17/06/2016;20/12/2015;01/12/15
35;2015;;26/11/2015;01/11/15
80,25;2015;16/04/2019;26/11/2015;01/11/15
98,75;2015;15/09/2016;01/12/2015;01/12/15
16;2015;;25/11/2015;01/11/15
19,5;2015;04/04/2016;25/11/2015;01/11/15
103;2015;06/12/2019;25/11/2015;01/11/15
300;2015;;25/11/2015;01/11/15
13;2015;07/10/2016;29/11/2015;01/11/15
24,23;2015;;08/12/2015;01/12/15
10;2015;;07/12/2015;01/12/15
14,25;2015;17/05/2016;25/11/2015;01/11/15
30,75;2015;03/07/2017;30/11/2015;01/11/15
89,12;2015;07/06/2016;26/11/2015;01/11/15
58;2015;04/10/2016;25/11/2015;01/11/15
156;2015;;07/12/2015;01/12/15
79,73;2015;22/10/2019;15/12/2015;01/12/15
163,75;2015;21/03/2019;26/11/2015;01/11/15
70;2015;;25/11/2015;01/11/15
21,75;2015;;07/12/2015;01/12/15
6;2015;;28/12/2015;01/12/15
26;2015;19/08/2016;29/11/2015;01/11/15
30;2015;;07/12/2015;01/12/15
9,75;2015;;07/12/2015;01/12/15
52;2015;;03/12/2015;01/12/15
24;2016;04/08/2017;21/01/2016;01/01/16
344,7;2015;17/10/2017;26/11/2015;01/11/15
51,3;2015;;17/12/2015;01/12/15
10,4;2015;25/11/2016;09/12/2015;01/12/15
167,75;2015;;17/12/2015;01/12/15
35,81;2015;;17/12/2015;01/12/15
167,25;2015;;07/12/2015;01/12/15
3,75;2015;12/01/2016;10/12/2015;01/12/15
60,75;2015;;07/12/2015;01/12/15
22,5;2016;20/04/2016;23/03/2016;01/03/16
166,69;2015;10/12/2019;08/12/2015;01/12/15
82;2015;;07/12/2015;01/12/15
70,88;2015;;14/12/2015;01/12/15
10;2015;;03/12/2015;01/12/15
41,25;2015;05/12/2017;16/12/2015;01/12/15
200;2015;;03/12/2015;01/12/15
6;2015;23/06/2016;03/12/2015;01/12/15
60;2015;;17/12/2015;01/12/15
5,25;2015;22/04/2016;06/12/2015;01/12/15
15;2015;;07/12/2015;01/12/15
40,25;2016;08/08/2017;10/02/2016;01/02/16
57;2015;;03/12/2015;01/12/15
15;2016;05/01/2017;01/04/2016;01/04/16
426;2015;;03/12/2015;01/12/15
20,5;2015;03/10/2018;03/12/2015;01/12/15
196,75;2015;;20/12/2015;01/12/15
5,25;2015;;07/12/2015;01/12/15
10;2016;02/05/2016;11/03/2016;01/03/16
93;2015;;07/12/2015;01/12/15
62;2015;;03/12/2015;01/12/15
429,3;2015;;07/12/2015;01/12/15
101,51;2016;20/12/2016;26/01/2016;01/01/16
61,5;2015;;03/12/2015;01/12/15
75,3;2015;;03/12/2015;01/12/15
171,25;2016;;04/02/2016;01/02/16
105,2;2015;;21/12/2015;01/12/15
97,8;2015;;03/12/2015;01/12/15
11,25;2016;24/10/2017;13/04/2016;01/04/16
22;2015;;06/12/2015;01/12/15
367,32;2015;10/12/2019;01/12/2015;01/12/15
48,25;2015;;02/12/2015;01/12/15
320;2015;;03/12/2015;01/12/15
20;2015;08/03/2016;03/12/2015;01/12/15
48,5;2015;21/09/2020;08/12/2015;01/12/15
80,25;2015;;20/12/2015;01/12/15
183;2015;;02/12/2015;01/12/15
12;2015;;01/12/2015;01/12/15
1029,41;2015;;03/12/2015;01/12/15
15;2015;;03/12/2015;01/12/15
16,5;2015;01/10/2018;03/12/2015;01/12/15
154,5;2015;19/10/2018;07/12/2015;01/12/15
268,5;2015;;03/12/2015;01/12/15
376,5;2015;;07/12/2015;01/12/15
252,19;2015;26/05/2017;01/12/2015;01/12/15
83,19;2015;;07/12/2015;01/12/15
313,58;2015;;03/12/2015;01/12/15
58,5;2015;;03/12/2015;01/12/15
10,5;2015;30/03/2016;07/12/2015;01/12/15
383,28;2015;04/09/2017;30/11/2015;01/11/15
45,25;2016;09/12/2019;10/06/2016;01/06/16
12,15;2015;;21/12/2015;01/12/15
27,49;2015;;17/12/2015;01/12/15
62,25;2015;;03/12/2015;01/12/15
154,25;2015;;07/12/2015;01/12/15
30;2016;;11/01/2016;01/01/16
448;2015;;03/12/2015;01/12/15
12,75;2015;;06/12/2015;01/12/15
113,25;2015;;03/12/2015;01/12/15
47,11;2016;13/02/2017;04/01/2016;01/01/16
12;2015;17/05/2016;01/12/2015;01/12/15
9,25;2015;31/03/2016;03/12/2015;01/12/15
17,5;2016;14/06/2016;09/05/2016;01/05/16
460;2015;;02/12/2015;01/12/15
12,19;2015;25/01/2017;01/12/2015;01/12/15
25;2015;06/06/2019;02/12/2015;01/12/15
150;2015;;02/12/2015;01/12/15
721,91;2015;;02/12/2015;01/12/15
87,98;2015;12/12/2017;03/12/2015;01/12/15
150;2015;;01/12/2015;01/12/15
52,5;2015;;01/12/2015;01/12/15
123;2015;;02/12/2015;01/12/15
160;2015;;03/12/2015;01/12/15
201;2015;;07/12/2015;01/12/15
162,4;2015;06/09/2016;30/11/2015;01/11/15
24,3;2015;05/10/2016;30/11/2015;01/11/15
18,3;2015;10/10/2016;30/11/2015;01/11/15
45;2015;;02/12/2015;01/12/15
277,76;2015;;02/12/2015;01/12/15
121;2015;;02/12/2015;01/12/15
155,93;2015;;02/12/2015;01/12/15
920;2015;;02/12/2015;01/12/15
84,75;2015;18/06/2019;03/12/2015;01/12/15
181,98;2015;;02/12/2015;01/12/15
124,5;2015;;01/12/2015;01/12/15
17,5;2015;;02/12/2015;01/12/15
14,55;2015;30/08/2016;30/11/2015;01/11/15
7,5;2015;;03/12/2015;01/12/15
533,69;2015;10/08/2018;03/12/2015;01/12/15
71,55;2015;;03/12/2015;01/12/15
57,25;2015;09/08/2017;28/12/2015;01/12/15
15;2015;;08/12/2015;01/12/15
313,73;2016;;09/09/2016;01/09/16
66,49;2015;;06/12/2015;01/12/15
23,94;2015;;14/12/2015;01/12/15
66,25;2015;;08/12/2015;01/12/15
30,78;2016;29/06/2016;05/01/2016;01/01/16
52;2016;;16/05/2016;01/05/16
89,6;2016;24/04/2017;05/08/2016;01/08/16
44,91;2016;;13/07/2016;01/07/16
41;2016;26/09/2017;12/01/2016;01/01/16
44,85;2015;;07/12/2015;01/12/15
44,25;2015;19/10/2018;07/12/2015;01/12/15
15;2015;;08/12/2015;01/12/15
182,01;2016;14/06/2017;04/01/2016;01/01/16
320;2015;;03/12/2015;01/12/15
1204,71;2015;14/07/2017;03/12/2015;01/12/15
362,5;2015;;03/12/2015;01/12/15
833,25;2015;;03/12/2015;01/12/15
90;2015;;03/12/2015;01/12/15
13,5;2015;04/07/2017;15/12/2015;01/12/15
80;2015;;03/12/2015;01/12/15
434,25;2015;;08/12/2015;01/12/15
589,21;2015;;07/12/2015;01/12/15
739,26;2015;06/12/2018;07/12/2015;01/12/15
459,75;2015;;15/12/2015;01/12/15
16,2;2015;;13/12/2015;01/12/15
29,7;2015;;07/12/2015;01/12/15
12;2016;22/07/2016;17/02/2016;01/02/16
124,67;2015;;07/12/2015;01/12/15
49,55;2015;;07/12/2015;01/12/15
7,09;2016;;17/01/2016;01/01/16
6;2016;;19/01/2016;01/01/16
422,89;2015;;08/12/2015;01/12/15
6;2016;;21/01/2016;01/01/16
176,42;2015;10/12/2019;08/12/2015;01/12/15
8,91;2016;14/06/2016;03/03/2016;01/03/16
9;2016;18/08/2016;08/04/2016;01/04/16
79,5;2016;09/12/2019;10/05/2016;01/05/16
46,05;2015;17/12/2018;16/12/2015;01/12/15
33;2015;09/03/2017;15/12/2015;01/12/15
39;2015;;08/12/2015;01/12/15
46,5;2015;30/05/2016;16/12/2015;01/12/15
164;2016;28/08/2019;01/02/2016;01/02/16
31,5;2016;17/02/2017;12/01/2016;01/01/16
140,06;2015;;17/12/2015;01/12/15
10;2015;;08/12/2015;01/12/15
42,35;2015;;08/12/2015;01/12/15
329,52;2015;;08/12/2015;01/12/15
6;2016;;20/01/2016;01/01/16
5,25;2015;20/05/2016;20/12/2015;01/12/15
34;2016;19/09/2017;12/01/2016;01/01/16
505,61;2015;14/11/2017;16/12/2015;01/12/15
14,25;2016;;07/01/2016;01/01/16
31,05;2016;;05/01/2016;01/01/16
43,35;2015;18/10/2018;16/12/2015;01/12/15
154,88;2016;14/12/2018;04/04/2016;01/04/16
400;2015;;21/12/2015;01/12/15
0,3;2015;08/06/2016;27/12/2015;01/12/15
10,08;2015;12/12/2018;30/12/2015;01/12/15
11,9;2016;23/05/2016;04/01/2016;01/01/16
86,5;2015;;09/12/2015;01/12/15
59,94;2016;;05/09/2016;01/09/16
6;2016;;20/01/2016;01/01/16
51,91;2015;31/03/2016;17/12/2015;01/12/15
9;2015;;13/12/2015;01/12/15
8,75;2016;22/06/2016;17/05/2016;01/05/16
30,14;2015;08/03/2016;17/12/2015;01/12/15
43,89;2016;19/04/2017;04/01/2016;01/01/16
10;2015;;14/12/2015;01/12/15
70;2015;;14/12/2015;01/12/15
11,25;2015;18/03/2016;14/12/2015;01/12/15
10,5;2016;;02/03/2016;01/03/16
36,6;2015;;17/12/2015;01/12/15
164,25;2015;;21/12/2015;01/12/15
3;2015;;20/12/2015;01/12/15
24,63;2015;10/09/2018;17/12/2015;01/12/15
19;2015;29/03/2016;15/12/2015;01/12/15
17;2016;24/03/2016;04/01/2016;01/01/16
150,05;2016;10/04/2019;26/04/2016;01/04/16
313,2;2015;;20/12/2015;01/12/15
13;2015;22/04/2016;15/12/2015;01/12/15
30,6;2015;;15/12/2015;01/12/15
63,87;2016;;05/01/2016;01/01/16
36;2016;06/07/2017;11/01/2016;01/01/16
5;2016;19/10/2016;01/03/2016;01/03/16
444,28;2016;21/02/2017;30/03/2016;01/03/16
54,25;2016;11/07/2016;12/01/2016;01/01/16
77,7;2016;;06/01/2016;01/01/16
26,5;2015;15/03/2019;17/12/2015;01/12/15
24,25;2016;02/09/2016;10/03/2016;01/03/16
6;2016;;20/01/2016;01/01/16
15;2015;;17/12/2015;01/12/15
3,75;2016;26/09/2016;05/05/2016;01/05/16
6,75;2016;30/03/2016;12/01/2016;01/01/16
1601,25;2015;;27/12/2015;01/12/15
54,75;2015;;20/12/2015;01/12/15
49,5;2015;;27/12/2015;01/12/15
90,52;2016;;01/02/2016;01/02/16
174,75;2015;;20/12/2015;01/12/15
24,3;2015;;21/12/2015;01/12/15
48,75;2015;;20/12/2015;01/12/15
15;2015;19/04/2016;20/12/2015;01/12/15
10;2016;02/08/2017;27/01/2016;01/01/16
18;2015;01/04/2019;20/12/2015;01/12/15
18;2016;25/04/2016;21/01/2016;01/01/16
66,75;2015;;21/12/2015;01/12/15
5;2016;24/03/2016;17/01/2016;01/01/16
9,6;2016;21/09/2016;14/01/2016;01/01/16
3;2016;17/06/2016;25/02/2016;01/02/16
112,25;2015;13/12/2016;29/12/2015;01/12/15
18;2016;07/04/2016;10/01/2016;01/01/16
10;2016;25/08/2016;02/06/2016;01/06/16
5,25;2016;09/11/2016;13/05/2016;01/05/16
285,05;2016;09/10/2019;04/02/2016;01/02/16
17,89;2016;03/02/2017;12/01/2016;01/01/16
18;2016;03/02/2016;04/01/2016;01/01/16
8,17;2016;19/08/2016;04/01/2016;01/01/16
22,8;2016;15/03/2017;05/01/2016;01/01/16
31;2016;29/01/2018;18/03/2016;01/03/16
4,5;2016;04/05/2016;13/01/2016;01/01/16
14,36;2016;20/06/2016;04/02/2016;01/02/16
11,85;2016;07/06/2017;28/09/2016;01/09/16
0,3;2016;08/06/2016;10/01/2016;01/01/16
19,25;2016;;06/01/2016;01/01/16
20,5;2016;03/03/2016;06/01/2016;01/01/16
18;2016;22/05/2018;12/01/2016;01/01/16
18;2016;03/03/2017;29/02/2016;01/02/16
27;2016;07/04/2016;04/02/2016;01/02/16
26,25;2016;23/09/2016;01/02/2016;01/02/16
6;2016;;21/01/2016;01/01/16
30,34;2016;23/05/2016;12/01/2016;01/01/16
9;2016;14/07/2016;18/02/2016;01/02/16
9,75;2016;22/06/2016;11/01/2016;01/01/16
18;2016;03/10/2016;25/02/2016;01/02/16
64,25;2016;26/09/2016;12/01/2016;01/01/16
67,32;2016;28/07/2017;27/01/2016;01/01/16
10;2016;;12/01/2016;01/01/16
9,18;2016;22/09/2016;07/04/2016;01/04/16
4;2016;;11/02/2016;01/02/16
33,25;2016;13/05/2016;31/01/2016;01/01/16
133,55;2016;11/04/2017;26/02/2016;01/02/16
6;2016;;19/01/2016;01/01/16
7,09;2016;13/03/2017;17/01/2016;01/01/16
31,32;2016;25/05/2017;27/01/2016;01/01/16
65,15;2016;13/08/2018;18/03/2016;01/03/16
6,08;2016;22/06/2016;16/03/2016;01/03/16
6;2016;;21/01/2016;01/01/16
6;2016;;20/01/2016;01/01/16
150;2016;;20/01/2016;01/01/16
13,8;2016;03/10/2019;01/03/2016;01/03/16
10;2016;01/08/2017;09/05/2016;01/05/16
7;2016;;20/01/2016;01/01/16
6;2016;;21/01/2016;01/01/16
6;2016;;20/01/2016;01/01/16
9;2016;16/02/2017;26/01/2016;01/01/16
40;2016;;16/02/2016;01/02/16
32;2016;;14/02/2016;01/02/16
41,6;2016;17/06/2016;06/04/2016;01/04/16
6;2016;04/08/2016;26/02/2016;01/02/16
4,8;2016;04/05/2016;28/01/2016;01/01/16
27;2016;05/05/2016;28/01/2016;01/01/16
223,5;2016;10/12/2018;27/04/2016;01/04/16
33,25;2016;15/09/2016;10/03/2016;01/03/16
25,8;2016;;04/03/2016;01/03/16
8,15;2016;07/10/2016;26/04/2016;01/04/16
28;2016;03/10/2016;29/02/2016;01/02/16
26,7;2016;02/05/2016;04/02/2016;01/02/16
10;2016;15/03/2016;24/02/2016;01/02/16
4,5;2016;31/03/2016;01/02/2016;01/02/16
63,23;2016;20/02/2017;17/03/2016;01/03/16
99,9;2016;;23/05/2016;01/05/16
27,68;2016;10/04/2019;04/04/2016;01/04/16
181,67;2016;30/05/2017;04/03/2016;01/03/16
37,79;2016;03/04/2017;04/02/2016;01/02/16
4;2016;;03/02/2016;01/02/16
24;2016;12/03/2019;07/06/2016;01/06/16
111,15;2016;05/05/2017;09/09/2016;01/09/16
158;2016;04/01/2018;16/06/2016;01/06/16
35;2016;01/08/2016;24/03/2016;01/03/16
13,5;2016;20/04/2016;29/02/2016;01/02/16
28,59;2016;23/06/2016;24/02/2016;01/02/16
73,82;2016;26/09/2016;21/03/2016;01/03/16
4;2016;;03/02/2016;01/02/16
4,5;2016;09/08/2016;17/02/2016;01/02/16
23,63;2016;;30/03/2016;01/03/16
12;2016;22/10/2019;29/02/2016;01/02/16
6;2016;06/12/2016;05/04/2016;01/04/16
40,33;2016;20/07/2020;29/02/2016;01/02/16
9,8;2016;26/08/2016;14/02/2016;01/02/16
208,2;2016;04/11/2016;10/02/2016;01/02/16
7,5;2016;20/05/2016;10/02/2016;01/02/16
21,75;2016;27/10/2016;11/02/2016;01/02/16
28,95;2016;20/03/2019;21/09/2016;01/09/16
40;2016;;11/02/2016;01/02/16
46,85;2016;30/05/2017;25/02/2016;01/02/16
58,5;2016;22/06/2016;01/04/2016;01/04/16
23,25;2016;30/01/2017;08/03/2016;01/03/16
21;2016;03/10/2016;26/02/2016;01/02/16
14,58;2016;29/03/2016;14/02/2016;01/02/16
26,5;2016;11/07/2016;17/02/2016;01/02/16
55;2016;;20/06/2016;01/06/16
315,79;2016;05/09/2016;13/04/2016;01/04/16
178,85;2016;04/10/2019;17/10/2016;01/10/16
49,25;2016;04/04/2017;15/02/2016;01/02/16
4;2016;01/07/2016;18/04/2016;01/04/16
33;2016;;23/02/2016;01/02/16
67,5;2016;02/01/2019;25/05/2016;01/05/16
125,63;2016;12/12/2016;07/03/2016;01/03/16
